"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BAT1","BS-7","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","digikey-footprints:Battery_Holder_Coin_2032_BS-7","1",""
"C1","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C2","100uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"D1,D2","RED","~","LED_THT:LED_D3.0mm","2",""
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","digikey-footprints:TO-92-3","1",""
"R1,R3","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R2","330k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R4","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R5","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R6,R7","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"S1","EG1218","http://spec_sheets.e-switch.com/specs/P040040.pdf","digikey-footprints:Switch_Slide_11.6x4mm_EG1218","1",""
"U1","7555","","555_Badge:ICM7555-PDIP","1",""
